product_id,part_number,part_name,description,in_stock,healthy_number,arrival_price,selling_price,storage_location,version
a1b2c3d4-e5f6-7890-abcd-ef1234567890,FIL-164-DST,164 DUST FILTER,Air cabin filter for model 164 GL/ML class,44,15,18.5,29.99,Aisle B-12,0
b2c3d4e5-f6a7-8901-bcde-f12345678901,HSE-164-642-RAD,164/642 RADIOTOR BOTTOM HOSE,Coolant hose for 164/642 engine vehicles,2,5,32.75,59.95,Aisle C-03,0
c3d4e5f6-a7b8-9012-cdef-123456789012,HSE-166-RAD-BTM,166 RADIATOR BOTTOM HOSE,Lower radiator hose for 166 GLE/GLS models,2,4,28.9,49.99,Aisle C-03,0
d4e5f6a7-b8c9-0123-defg-2345678901234,HSE-166-RAD-TOP,166 RADIATOR TOP HOSE,Upper radiator hose for 166 GLE/GLS models,2,4,26.4,45.99,Aisle C-03,0
e5f6a7b8-c9d0-1234-efgh-3456789012345,FIL-202-210-FUEL,202/210 FUEL FILTER,Fuel filter for 202/210 E-Class models,5,8,15.25,27.99,Aisle B-05,0
f6a7b8c9-d0e1-2345-fghi-4567890123456,FIL-203-DST,203 DUST FILTER,Cabin air filter for 203 C-Class models,12,10,16.8,24.99,Aisle B-12,0
a7b8c9d0-e1f2-3456-ghij-5678901234567,BRG-204-CNT,204 CENTRE BEARING,Center driveshaft bearing for 204 C-Class,2,4,78.5,139.95,Aisle D-08,0
b8c9d0e1-f2a3-4567-hijk-6789012345678,FIL-204-212-DST,204/212 DUST FILTER,Cabin air filter for 204/212 C/E-Class models,8,10,17.35,26.99,Aisle B-12,0
c9d0e1f2-a3b4-5678-ijkl-7890123456789,FIL-205-DST,205 DUST FILTER,Cabin air filter for 205 C-Class models,0,10,18.9,28.99,Aisle B-12,0
d0e1f2a3-b4c5-6789-jklm-8901234567890,FIL-211-DST,211 DUST FILTER,Cabin air filter for 211 E-Class models,11,8,18.5,27.99,Aisle B-12,0
e1f2a3b4-c5d6-7890-klmn-9012345678901,PIP-211-642-BST,211/642 BOOST PRESSURE PIPE,Boost pressure pipe for 211/642 diesel models,2,3,75.4,129.95,Aisle E-04,0
f2a3b4c5-d6e7-8901-lmno-0123456789012,PIP-212-642-BST,212/642 BOOST PRESSURE PIPE,Boost pressure pipe for 212/642 diesel models,2,3,78.6,135.99,Aisle E-04,0
a3b4c5d6-e7f8-9012-mnop-1234567890123,FIL-221-DST,221 DUST FILTER,Cabin air filter for 221 S-Class models,45,15,22.8,34.99,Aisle B-12,0
b4c5d6e7-f8a9-0123-nopq-2345678901234,PMP-271-PWR,271 POWER STEERING PUMP,Power steering pump for 271 engine models,-1,2,195.6,329.99,Aisle F-02,0
c5d6e7f8-a9b0-1234-opqr-3456789012345,SEL-272-OIL-HSG,272 OIL COOLER SEALS (HOUSING),Oil cooler housing seals for 272 V6 engines,17,8,12.5,24.99,Aisle G-06,0
d6e7f8a9-b0c1-2345-pqrs-4567890123456,FIL-274-212-AIR,274/212 AIR FILTER,Air filter for 212 E-Class with 274 engine,5,6,22.4,39.99,Aisle B-05,0
e7f8a9b0-c1d2-3456-qrst-5678901234567,FLD-ADBLUE,AdBLUE,Diesel exhaust fluid for BlueTEC vehicles,10,15,9.8,18.99,Aisle A-01,0
f8a9b0c1-d2e3-4567-rstu-6789012345678,DCT-271-CGI,AIR DUCT 271 CGI,Air intake duct for 271 CGI engine models,21,8,65.4,109.99,Aisle E-02,0
a9b0c1d2-e3f4-5678-stuv-7890123456789,DCT-271-ORD,AIR DUCT 271 ORD,Air intake duct for 271 standard engine models,2,4,58.75,99.99,Aisle E-02,0
b0c1d2e3-f4a5-6789-tuvw-8901234567890,DCT-166-AIR,AIR DUCTS 166,Air intake ducts for 166 GLE/GLS models,2,4,72.4,119.95,Aisle E-02,0
c1d2e3f4-a5b6-7890-uvwx-9012345678901,FIL-GEN-AIR,AIR FILTER,Universal air filter for multiple models,8,10,18.5,32.99,Aisle B-05,0
d2e3f4a5-b6c7-8901-vwxy-0123456789012,FIL-274-205-AIR,AIR FILTER 274/205,Air filter for 205 C-Class with 274 engine,13,8,24.75,42.99,Aisle B-05,0
e3f4a5b6-c7d8-9012-wxyz-1234567890123,FIL-111-AIR-1,AIR FILTER 111,Air filter for 111 4-cylinder engines,15,10,19.8,34.99,Aisle B-05,0
f4a5b6c7-d8e9-0123-xyza-2345678901234,FIL-111-AIR-2,AIR FILTER 111,Premium air filter for 111 engines,5,8,24.5,39.99,Aisle B-05,0
a5b6c7d8-e9f0-1234-yzab-3456789012345,FIL-156-629-AIR,AIR FILTER 156/629,Air filter for 156/629 engine models,4,6,26.8,44.99,Aisle B-05,0
b6c7d8e9-f0a1-2345-zabc-4567890123456,FIL-177-AIR,AIR FILTER 177,Air filter for 177 engine models,8,8,23.6,39.99,Aisle B-05,0
c7d8e9f0-a1b2-3456-abcd-5678901234567,FIL-254-AIR,AIR FILTER 254,Air filter for 254 V6 engine models,3,4,28.9,49.99,Aisle B-05,0
d8e9f0a1-b2c3-4567-bcde-6789012345678,FIL-260-AIR,AIR FILTER 260,Air filter for 260 V8 engine models,9,8,29.75,52.99,Aisle B-05,0
e9f0a1b2-c3d4-5678-cdef-7890123456789,FIL-264-AIR,AIR FILTER 264,Air filter for 264 V6 engine models,21,10,27.5,47.99,Aisle B-05,0
f0a1b2c3-d4e5-6789-defg-8901234567890,FIL-270-AIR,AIR FILTER 270,Air filter for 270 V6 engine models,1,4,28.4,49.99,Aisle B-05,0
a1b2c3d4-e5f6-7890-efgh-9012345678901,FIL-271-CGI-AIR,AIR FILTER 271 CGI,Air filter for 271 CGI engine models,1,4,32.8,54.99,Aisle B-05,0
b2c3d4e5-f6a7-8901-fghi-0123456789012,FIL-271-ORD-AIR,AIR FILTER 271 ORD,Air filter for 271 standard engine models,22,12,29.4,49.99,Aisle B-05,0
c3d4e5f6-a7b8-9012-ghij-1234567890123,FIL-271-SET-AIR,AIR FILTER 271 SET,Complete air filter set for 271 engines,4,5,49.8,84.99,Aisle B-05,0
d4e5f6a7-b8c9-0123-hijk-2345678901234,FIL-272-112-AIR,AIR FILTER 272/112,Air filter for 272/112 V6/V8 engines,13,8,32.5,54.99,Aisle B-05,0
e5f6a7b8-c9d0-1234-ijkl-3456789012345,FIL-276-AIR,AIR FILTER 276,Air filter for 276 V6 engine models,23,10,31.75,53.99,Aisle B-05,0
